Welcome to the DougScore!,,,WEEKEND,,,,,TOTAL,DAILY,,,,,TOTAL,DOUGSCORE,Video Link,Filming Location,,Vehicle Country
,,,Styling,Acceleration,Handling,Fun Factor,Cool Factor,,Features,Comfort,Quality,Practicality,Value,,,,,,
,,,,,,,,,,,,,,,,,,,
2019,Lexus,RC-F,6,7,6,6,5,30,7,7,9,4,5,32,62,21:25,Los Angeles,California,Japan
2009,Mercedes-Benz,SL65 AMG Black Series,8,8,7,8,8,39,4,4,6,3,6,23,62,25:28,Fort Worth,Texas,Germany
1999,Nissan,Skyline GT-R (R34),6,7,7,8,9,37,4,5,6,4,6,25,62,26:40,Burbank,California,Japan
2017,Chevrolet,Corvette Z06,6,9,8,7,6,36,6,3,6,3,8,26,62,22:29,Marana,Arizona,USA
2018,Land Rover,Range Rover Supercharged,7,6,4,3,5,25,9,8,6,9,5,37,62,23:10,Fort Worth,Texas,UK
2019,Porsche,Macan S,5,5,6,6,5,27,7,7,7,7,6,34,61,23:24,Long Beach,California,Germany
2011,Ferrari,California ,6,8,7,8,6,35,4,5,7,3,7,26,61,13:35,Upland,California,Italy
2019,Lotus,Evora 400,7,7,8,7,7,36,5,5,7,3,5,25,61,12:06,Upland,California,UK
2020,Mercedes-Benz,GLE450,5,5,5,4,4,23,9,7,7,9,6,38,61,23:25,Newport Beach,California,Germany
2019,Genesis,G70 3.3T,5,7,6,5,4,27,7,7,8,5,7,34,61,22:45,San Diego,California,South Korea
2018,Ford,Mustang GT,6,8,7,7,5,33,6,5,6,4,7,28,61,23:46,Philadelphia,Pennsylvania,USA
2001,Lamborghini,Diablo 6.0,9,9,7,8,9,42,3,3,4,2,7,19,61,16:31,Lansdale,Pennsylvania,Italy
2000,BMW,Z8,10,7,6,7,7,37,3,5,7,2,7,24,61,26:35,Fairfax,Virginia,Germany
2002,BMW,M5,8,6,6,6,6,32,4,6,7,5,7,29,61,15:30,Huntingdon Valley,Pennsylvania,Germany
2017,Chevrolet,SS,6,6,6,6,5,29,6,6,6,5,9,32,61,22:26,Fort Lee,New Jersey,USA
2018,Lincoln,Navigator L Black Label,6,3,4,4,5,22,8,8,8,9,6,39,61,26:37,Newport Beach,California,USA
2020,Mercedes-Benz,GLS450,6,4,4,3,4,21,9,8,7,9,6,39,60,27:34,Newport Beach,California,Germany
2013,Ford,Raptor,7,4,3,6,6,26,5,6,6,8,10,35,61,24:39,Sacramento,California,USA
